,index,variable,value
506,US,2/1/20,0
507,"Korea, South",2/1/20,0
508,Switzerland,2/1/20,0
509,China - Guangdong,2/1/20,14
510,China - Henan,2/1/20,3
511,China - Zhejiang,2/1/20,21
512,China - Hunan,2/1/20,8
513,China - Anhui,2/1/20,5
514,China - Jiangxi,2/1/20,9
515,Belgium,2/1/20,0
516,China - Shandong,2/1/20,3
517,China - Jiangsu,2/1/20,6
518,Canada,2/1/20,0
519,Austria,2/1/20,0
520,China - Chongqing,2/1/20,3
521,China - Sichuan,2/1/20,3
522,China - Heilongjiang,2/1/20,2
523,China - Beijing,2/1/20,9
524,China - Shanghai,2/1/20,10
525,China - Hebei,2/1/20,0
526,Diamond Princess,2/1/20,0
527,China - Fujian,2/1/20,0
528,Malaysia,2/1/20,0
529,Denmark,2/1/20,0
530,China - Shaanxi,2/1/20,0
531,China - Guangxi,2/1/20,2
532,Japan,2/1/20,1
533,Turkey,2/1/20,0
534,Peru,2/1/20,0
535,Thailand,2/1/20,5
536,China - Yunnan,2/1/20,2
537,China - Hainan,2/1/20,1
538,Singapore,2/1/20,0
539,Bahrain,2/1/20,0
540,China - Guizhou,2/1/20,2
541,Chile,2/1/20,0
542,China - Shanxi,2/1/20,1
543,Australia - Victoria,2/1/20,0
544,China - Tianjin,2/1/20,0
545,Israel,2/1/20,0
546,China - Liaoning,2/1/20,1
547,China - Gansu,2/1/20,0
548,Romania,2/1/20,0
549,Iceland,2/1/20,0
550,China - Hubei,2/2/20,295
551,Spain,2/2/20,0
552,Iran,2/2/20,0
553,Germany,2/2/20,0
554,Italy,2/2/20,0
555,France,2/2/20,0
556,US,2/2/20,0
557,"Korea, South",2/2/20,0
558,Switzerland,2/2/20,0
559,China - Guangdong,2/2/20,15
560,China - Henan,2/2/20,10
561,China - Zhejiang,2/2/20,32
562,China - Hunan,2/2/20,16
563,China - Anhui,2/2/20,7
564,China - Jiangxi,2/2/20,12
565,Belgium,2/2/20,0
566,China - Shandong,2/2/20,6
567,China - Jiangsu,2/2/20,7
568,Canada,2/2/20,0
569,Austria,2/2/20,0
570,China - Chongqing,2/2/20,7
571,China - Sichuan,2/2/20,11
572,China - Heilongjiang,2/2/20,2
573,China - Beijing,2/2/20,9
574,China - Shanghai,2/2/20,10
575,China - Hebei,2/2/20,3
576,Diamond Princess,2/2/20,0
577,China - Fujian,2/2/20,0
578,Malaysia,2/2/20,0
579,Denmark,2/2/20,0
580,China - Shaanxi,2/2/20,0
581,China - Guangxi,2/2/20,2
582,Japan,2/2/20,1
583,Turkey,2/2/20,0
584,Peru,2/2/20,0
585,Thailand,2/2/20,5
586,China - Yunnan,2/2/20,3
587,China - Hainan,2/2/20,4
588,Singapore,2/2/20,0
589,Bahrain,2/2/20,0
590,China - Guizhou,2/2/20,2
591,Chile,2/2/20,0
592,China - Shanxi,2/2/20,3
593,Australia - Victoria,2/2/20,0
594,China - Tianjin,2/2/20,1
595,Israel,2/2/20,0
596,China - Liaoning,2/2/20,1
597,China - Gansu,2/2/20,3
598,Romania,2/2/20,0
599,Iceland,2/2/20,0
600,China - Hubei,2/3/20,386
601,Spain,2/3/20,0
602,Iran,2/3/20,0
603,Germany,2/3/20,0
604,Italy,2/3/20,0
605,France,2/3/20,0
606,US,2/3/20,0
607,"Korea, South",2/3/20,0
608,Switzerland,2/3/20,0
609,China - Guangdong,2/3/20,21
610,China - Henan,2/3/20,16
611,China - Zhejiang,2/3/20,43
612,China - Hunan,2/3/20,22
613,China - Anhui,2/3/20,14
614,China - Jiangxi,2/3/20,18
615,Belgium,2/3/20,0
616,China - Shandong,2/3/20,7
617,China - Jiangsu,2/3/20,8
618,Canada,2/3/20,0
619,Austria,2/3/20,0
620,China - Chongqing,2/3/20,9
621,China - Sichuan,2/3/20,14
622,China - Heilongjiang,2/3/20,2
623,China - Beijing,2/3/20,12
624,China - Shanghai,2/3/20,10
625,China - Hebei,2/3/20,3
626,Diamond Princess,2/3/20,0
627,China - Fujian,2/3/20,1
628,Malaysia,2/3/20,0
629,Denmark,2/3/20,0
630,China - Shaanxi,2/3/20,0
631,China - Guangxi,2/3/20,7
632,Japan,2/3/20,1
633,Turkey,2/3/20,0
634,Peru,2/3/20,0
635,Thailand,2/3/20,5
636,China - Yunnan,2/3/20,5
637,China - Hainan,2/3/20,4
638,Singapore,2/3/20,0
639,Bahrain,2/3/20,0
640,China - Guizhou,2/3/20,2
641,Chile,2/3/20,0
642,China - Shanxi,2/3/20,2
643,Australia - Victoria,2/3/20,0
644,China - Tianjin,2/3/20,1
645,Israel,2/3/20,0
646,China - Liaoning,2/3/20,1
647,China - Gansu,2/3/20,3
648,Romania,2/3/20,0
649,Iceland,2/3/20,0
650,China - Hubei,2/4/20,522
651,Spain,2/4/20,0
652,Iran,2/4/20,0
653,Germany,2/4/20,0
654,Italy,2/4/20,0
655,France,2/4/20,0
656,US,2/4/20,0
657,"Korea, South",2/4/20,0
658,Switzerland,2/4/20,0
659,China - Guangdong,2/4/20,30
660,China - Henan,2/4/20,27
661,China - Zhejiang,2/4/20,62
662,China - Hunan,2/4/20,31
663,China - Anhui,2/4/20,20
664,China - Jiangxi,2/4/20,20
665,Belgium,2/4/20,0
666,China - Shandong,2/4/20,11
667,China - Jiangsu,2/4/20,12
668,Canada,2/4/20,0
669,Austria,2/4/20,0
670,China - Chongqing,2/4/20,9
671,China - Sichuan,2/4/20,14
672,China - Heilongjiang,2/4/20,4
673,China - Beijing,2/4/20,23
674,China - Shanghai,2/4/20,12
675,China - Hebei,2/4/20,4
676,Diamond Princess,2/4/20,0
677,China - Fujian,2/4/20,3
678,Malaysia,2/4/20,0
679,Denmark,2/4/20,0
680,China - Shaanxi,2/4/20,2
681,China - Guangxi,2/4/20,10
682,Japan,2/4/20,1
683,Turkey,2/4/20,0
684,Peru,2/4/20,0
685,Thailand,2/4/20,5
686,China - Yunnan,2/4/20,5
687,China - Hainan,2/4/20,5
688,Singapore,2/4/20,0
689,Bahrain,2/4/20,0
690,China - Guizhou,2/4/20,2
691,Chile,2/4/20,0
692,China - Shanxi,2/4/20,4
693,Australia - Victoria,2/4/20,0
694,China - Tianjin,2/4/20,2
695,Israel,2/4/20,0
696,China - Liaoning,2/4/20,2
697,China - Gansu,2/4/20,4
698,Romania,2/4/20,0
699,Iceland,2/4/20,0
700,China - Hubei,2/5/20,633
701,Spain,2/5/20,0
702,Iran,2/5/20,0
703,Germany,2/5/20,0
704,Italy,2/5/20,0
705,France,2/5/20,0
706,US,2/5/20,0
707,"Korea, South",2/5/20,0
708,Switzerland,2/5/20,0
709,China - Guangdong,2/5/20,49
710,China - Henan,2/5/20,47
711,China - Zhejiang,2/5/20,78
712,China - Hunan,2/5/20,54
713,China - Anhui,2/5/20,23
714,China - Jiangxi,2/5/20,27
715,Belgium,2/5/20,0
716,China - Shandong,2/5/20,15
717,China - Jiangsu,2/5/20,23
718,Canada,2/5/20,0
719,Austria,2/5/20,0
720,China - Chongqing,2/5/20,15
721,China - Sichuan,2/5/20,24
722,China - Heilongjiang,2/5/20,7
723,China - Beijing,2/5/20,24
724,China - Shanghai,2/5/20,15
725,China - Hebei,2/5/20,6
726,Diamond Princess,2/5/20,0
727,China - Fujian,2/5/20,11
728,Malaysia,2/5/20,0
729,Denmark,2/5/20,0
730,China - Shaanxi,2/5/20,6
731,China - Guangxi,2/5/20,13
732,Japan,2/5/20,1
733,Turkey,2/5/20,0
734,Peru,2/5/20,0
735,Thailand,2/5/20,5
736,China - Yunnan,2/5/20,5
737,China - Hainan,2/5/20,5
738,Singapore,2/5/20,0
739,Bahrain,2/5/20,0
740,China - Guizhou,2/5/20,9
741,Chile,2/5/20,0
742,China - Shanxi,2/5/20,5
743,Australia - Victoria,2/5/20,0
744,China - Tianjin,2/5/20,2
745,Israel,2/5/20,0
746,China - Liaoning,2/5/20,4
747,China - Gansu,2/5/20,6
748,Romania,2/5/20,0
749,Iceland,2/5/20,0
750,China - Hubei,2/6/20,817
751,Spain,2/6/20,0
752,Iran,2/6/20,0
753,Germany,2/6/20,0
754,Italy,2/6/20,0
755,France,2/6/20,0
756,US,2/6/20,0
757,"Korea, South",2/6/20,0
758,Switzerland,2/6/20,0
759,China - Guangdong,2/6/20,69
760,China - Henan,2/6/20,56
761,China - Zhejiang,2/6/20,94
762,China - Hunan,2/6/20,81
763,China - Anhui,2/6/20,34
764,China - Jiangxi,2/6/20,37
765,Belgium,2/6/20,0
766,China - Shandong,2/6/20,27
767,China - Jiangsu,2/6/20,34
768,Canada,2/6/20,0
769,Austria,2/6/20,0
770,China - Chongqing,2/6/20,24
771,China - Sichuan,2/6/20,31
772,China - Heilongjiang,2/6/20,8
773,China - Beijing,2/6/20,31
774,China - Shanghai,2/6/20,25
775,China - Hebei,2/6/20,13
776,Diamond Princess,2/6/20,0
777,China - Fujian,2/6/20,14
778,Malaysia,2/6/20,0
779,Denmark,2/6/20,0
780,China - Shaanxi,2/6/20,9
781,China - Guangxi,2/6/20,14
782,Japan,2/6/20,1
783,Turkey,2/6/20,0
784,Peru,2/6/20,0
785,Thailand,2/6/20,5
786,China - Yunnan,2/6/20,7
787,China - Hainan,2/6/20,8
788,Singapore,2/6/20,0
789,Bahrain,2/6/20,0
790,China - Guizhou,2/6/20,6
791,Chile,2/6/20,0
792,China - Shanxi,2/6/20,12
793,Australia - Victoria,2/6/20,0
794,China - Tianjin,2/6/20,2
795,Israel,2/6/20,0
796,China - Liaoning,2/6/20,5
797,China - Gansu,2/6/20,6
798,Romania,2/6/20,0
799,Iceland,2/6/20,0
800,China - Hubei,2/7/20,1115
801,Spain,2/7/20,0
802,Iran,2/7/20,0
803,Germany,2/7/20,0
804,Italy,2/7/20,0
805,France,2/7/20,0
806,US,2/7/20,0
807,"Korea, South",2/7/20,1
808,Switzerland,2/7/20,0
809,China - Guangdong,2/7/20,88
810,China - Henan,2/7/20,86
811,China - Zhejiang,2/7/20,123
812,China - Hunan,2/7/20,112
813,China - Anhui,2/7/20,47
814,China - Jiangxi,2/7/20,45
815,Belgium,2/7/20,0
816,China - Shandong,2/7/20,37
817,China - Jiangsu,2/7/20,43
818,Canada,2/7/20,0
819,Austria,2/7/20,0
820,China - Chongqing,2/7/20,31
821,China - Sichuan,2/7/20,42
822,China - Heilongjiang,2/7/20,12
823,China - Beijing,2/7/20,33
824,China - Shanghai,2/7/20,30
825,China - Hebei,2/7/20,22
826,Diamond Princess,2/7/20,0
827,China - Fujian,2/7/20,20
828,Malaysia,2/7/20,1
829,Denmark,2/7/20,0
830,China - Shaanxi,2/7/20,17
831,China - Guangxi,2/7/20,17
832,Japan,2/7/20,1
833,Turkey,2/7/20,0
834,Peru,2/7/20,0
835,Thailand,2/7/20,5
836,China - Yunnan,2/7/20,12
837,China - Hainan,2/7/20,10
838,Singapore,2/7/20,0
839,Bahrain,2/7/20,0
840,China - Guizhou,2/7/20,6
841,Chile,2/7/20,0
842,China - Shanxi,2/7/20,15
843,Australia - Victoria,2/7/20,0
844,China - Tianjin,2/7/20,2
845,Israel,2/7/20,0
846,China - Liaoning,2/7/20,7
847,China - Gansu,2/7/20,9
848,Romania,2/7/20,0
849,Iceland,2/7/20,0
850,China - Hubei,2/8/20,1439
851,Spain,2/8/20,0
852,Iran,2/8/20,0
853,Germany,2/8/20,0
854,Italy,2/8/20,0
855,France,2/8/20,0
